Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
IGHM,9.65256258992902E-194,884.4775990583803,-0.2811497165003811,-884.4775990583803,High_Stem_Low_Stem
FGB,0.5820242999060671,0.31749861687785597,0.14790406255005217,0.31749861687785597,High_Stem_Low_Stem
SAA2,7.381957938580778E-122,552.9225092580964,1.0013629866295013,552.9225092580964,High_Stem_Low_Stem
COL3A1,1.846279034445925E-91,412.84847176162293,-0.029397718401670048,-412.84847176162293,High_Stem_Low_Stem
COL1A1,1.6409836931842248E-23,100.3994630363959,-1.4954428162487705,-100.3994630363959,High_Stem_Low_Stem
MT1G,5.642533183809177E-34,148.35829941733027,-0.6125712816570245,-148.35829941733027,High_Stem_Low_Stem
COL1A2,5.475397627950587E-84,378.4311900473476,-0.038662271785046,-378.4311900473476,High_Stem_Low_Stem
IGFBP5,0.012328876270937362,6.3724763528007315,-0.19038727301208175,-6.3724763528007315,High_Stem_Low_Stem
ACTA2,0.051068372772319126,3.8860383117716992,-0.16127862536423962,-3.8860383117716992,High_Stem_Low_Stem
FABP1,3.64534814504516E-90,406.8798404580448,-0.45762859342291284,-406.8798404580448,High_Stem_Low_Stem
CCL21,6.979762990670363E-140,636.0365224881643,-0.030975966125148732,-636.0365224881643,High_Stem_Low_Stem
CXCL10,1.5578931061096943E-167,763.5510542642951,0.11626706680093932,763.5510542642951,High_Stem_Low_Stem
DCN,2.8406449216823114E-112,508.7490363185061,-0.0030518912342129556,-508.7490363185061,High_Stem_Low_Stem
